player_slug,player_name,season_name,competition_name,injury_reason,from_date,end_date,days_missed,games_missed
wes-morgan,Wes Morgan (10003),20/21,Premier League,Back injury,2021-01-22,2021-05-12,111.0,23
wes-morgan,Wes Morgan (10003),20/21,Premier League,Hamstring strain,2020-09-07,2020-09-18,12.0,1
wes-morgan,Wes Morgan (10003),19/20,Premier League,Ill,2020-01-26,2020-02-13,19.0,2
wes-morgan,Wes Morgan (10003),19/20,Premier League,Groin injury,2020-01-05,2020-01-18,14.0,2
wes-morgan,Wes Morgan (10003),19/20,Premier League,Back injury,2019-08-30,2019-09-13,15.0,1
wes-morgan,Wes Morgan (10003),18/19,Premier League,Ill,2018-12-27,2019-01-11,16.0,3
wes-morgan,Wes Morgan (10003),17/18,Premier League,Achilles tendon contusion,2018-01-01,2018-02-15,46.0,9
william-carvalho,William Carvalho (100131),23/24,LaLiga,unknown injury,2024-02-15,2024-02-19,5.0,2
william-carvalho,William Carvalho (100131),23/24,LaLiga,Inflammation of the biceps tendon in the thigh,2023-11-27,2023-12-14,18.0,5
william-carvalho,William Carvalho (100131),23/24,LaLiga,Muscle injury,2023-08-01,2023-09-25,56.0,7
william-carvalho,William Carvalho (100131),20/21,LaLiga,muscular problems,2020-12-27,2021-01-11,16.0,4
william-carvalho,William Carvalho (100131),19/20,LaLiga,Ill,2020-06-14,2020-06-20,7.0,2
william-carvalho,William Carvalho (100131),19/20,LaLiga,muscular problems,2020-02-24,2020-05-24,91.0,2
william-carvalho,William Carvalho (100131),19/20,LaLiga,Muscle injury,2019-10-03,2020-02-06,127.0,22
william-carvalho,William Carvalho (100131),18/19,LaLiga,Broken nose bone,2019-04-16,2019-05-11,26.0,4
william-carvalho,William Carvalho (100131),18/19,LaLiga,Hamstring injury,2019-01-31,2019-02-06,7.0,1
william-carvalho,William Carvalho (100131),18/19,LaLiga,Leg injury,2018-09-11,2018-09-28,18.0,4
william-carvalho,William Carvalho (100131),17/18,,muscular problems,2018-04-06,2018-05-03,28.0,6
william-carvalho,William Carvalho (100131),17/18,,Hamstring injury,2018-03-20,2018-04-03,15.0,3
william-carvalho,William Carvalho (100131),17/18,,influenza,2018-02-24,2018-02-28,5.0,1
william-carvalho,William Carvalho (100131),17/18,,Thigh problems,2018-02-05,2018-02-09,5.0,1
lago-junior,Lago Júnior (100722),23/24,,Muscle injury,2023-09-08,2023-09-13,6.0,1
lago-junior,Lago Júnior (100722),22/23,LaLiga,unknown injury,2023-04-07,2023-04-28,22.0,3
lago-junior,Lago Júnior (100722),21/22,LaLiga,Muscle injury,2022-04-18,2022-05-18,31.0,4
lago-junior,Lago Júnior (100722),17/18,,Knee injury,2017-12-10,2018-03-03,84.0,13
david-pejicic,David Pejičić (1009633),23/24,Serie A,Leg injury,2023-12-17,2023-12-22,6.0,1
thomas-meunier,Thomas Meunier (100986),23/24,Bundesliga,Partial muscle tear,2024-06-08,2024-07-02,25.0,4
thomas-meunier,Thomas Meunier (100986),23/24,Bundesliga,Muscle injury,2023-07-31,2023-10-27,89.0,16
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Muscle injury,2023-04-16,2023-05-29,44.0,6
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Back problems,2023-03-29,2023-04-06,9.0,2
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Torn muscle fiber,2023-01-12,2023-02-09,29.0,5
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Broken cheekbone,2022-10-20,2022-11-17,29.0,7
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Groin problems,2022-10-13,2022-10-13,1.0,0
